criador,video_link
aestheticore111,https://www.tiktok.com/@aestheticore111/video/7616077024687361287
aestheticore111,https://www.tiktok.com/@aestheticore111/video/7556692449096158475
aestheticore111,https://www.tiktok.com/@aestheticore111/video/7592633729223363852
aestheticore111,https://www.tiktok.com/@aestheticore111/video/7577119232211651896
aestheticore111,https://www.tiktok.com/@aestheticore111/video/7552985726237871416
aestheticore111,https://www.tiktok.com/@aestheticore111/video/7600801762370522386
aestheticore111,https://www.tiktok.com/@aestheticore111/video/7581873195603496203
aestheticore111,https://www.tiktok.com/@aestheticore111/video/7598206210344635666
missingeidos,https://www.tiktok.com/@missingeidos/video/7574817531286899975
missingeidos,https://www.tiktok.com/@missingeidos/video/7542523881106443527
missingeidos,https://www.tiktok.com/@missingeidos/video/7424856029201992967
missingeidos,https://www.tiktok.com/@missingeidos/video/7605237470581525780
missingeidos,https://www.tiktok.com/@missingeidos/video/7380719190178630920
missingeidos,https://www.tiktok.com/@missingeidos/video/7457923709639118098
missingeidos,https://www.tiktok.com/@missingeidos/video/7368845527204498696
missingeidos,https://www.tiktok.com/@missingeidos/video/7453856588340792584
missingeidos,https://www.tiktok.com/@missingeidos/video/7558520303316372744
missingeidos,https://www.tiktok.com/@missingeidos/video/7578119422892657938
withlovekourtney,https://www.tiktok.com/@withlovekourtney/video/7435432946804215082
withlovekourtney,https://www.tiktok.com/@withlovekourtney/video/7090963122374053163
withlovekourtney,https://www.tiktok.com/@withlovekourtney/video/7431965927270337835
withlovekourtney,https://www.tiktok.com/@withlovekourtney/video/7624301285914774814
withlovekourtney,https://www.tiktok.com/@withlovekourtney/video/7511032246178991390
withlovekourtney,https://www.tiktok.com/@withlovekourtney/video/7267591732026674478
withlovekourtney,https://www.tiktok.com/@withlovekourtney/video/7510337371628408095
withlovekourtney,https://www.tiktok.com/@withlovekourtney/video/7515458550643117342
withlovekourtney,https://www.tiktok.com/@withlovekourtney/video/7542614274087079198
withlovekourtney,https://www.tiktok.com/@withlovekourtney/video/7363327767494102314
tees.goods,https://www.tiktok.com/@tees.goods/video/7616430839165095170
tees.goods,https://www.tiktok.com/@tees.goods/video/7571570383006993686
tees.goods,https://www.tiktok.com/@tees.goods/video/7627242742468431126
tees.goods,https://www.tiktok.com/@tees.goods/video/7623946964945620246
tees.goods,https://www.tiktok.com/@tees.goods/video/7610447753788902678
tees.goods,https://www.tiktok.com/@tees.goods/video/7596086054940167446
tees.goods,https://www.tiktok.com/@tees.goods/video/7627454584415423766
tees.goods,https://www.tiktok.com/@tees.goods/video/7617422659139210518
tees.goods,https://www.tiktok.com/@tees.goods/video/7598618850132806934
tees.goods,https://www.tiktok.com/@tees.goods/video/7622663099941784854
